PLAYER,GP,AVG,TTL
KENDALL MILTON,1,0.2,0.2
TAHJ WASHINGTON,5,0.0,0.1
MALIK CUNNINGHAM,1,0.1,0.1
DREW LOCK,5,0.0,0.1
ELIJAH MITCHELL,1,0.0,0.0
CHASE EDMONDS,3,0.0,0.0
NIKOLA KALINIC,1,0.0,0.0
CHRIS COLLIER,1,0.0,0.0
DEION HANKINS,1,0.0,0.0
GARY BRIGHTWELL,2,0.0,0.0
BRITAIN COVEY,5,0.0,0.0
ZACH HORTON,1,0.0,0.0
KEILAN ROBINSON,1,0.0,0.0
JASHAUN CORBIN,1,0.0,0.0
DJ TURNER,1,0.0,0.0
PARRIS CAMPBELL,1,0.0,0.0
THOMAS FIDONE,2,0.0,0.0
KYE ROBICHAUX,1,0.0,0.0
LAQUON TREADWELL,8,0.0,0.0
CADE MCDONALD,1,0.0,0.0
EJ JENKINS,2,0.0,0.0
DALTON BELL,4,0.0,0.0
ERIC GRAY,3,0.0,0.0
HAYDEN RUCCI,4,0.0,0.0
MICHAEL BURTON,1,0.0,0.0
BRANDON SMITH,1,0.0,0.0
RAHEEM BLACKSHEAR,1,0.0,0.0
PRINCETON FANT,1,0.0,0.0
MARCEDES LEWIS,5,0.0,0.0
ZACH DAVIDSON,1,0.0,0.0
CJ DIPPRE,1,0.0,0.0
ALEXANDER MATTISON,2,0.0,0.0
CHANDLER BRAYBOY,1,0.0,0.0
JORDAN MOORE,1,0.0,0.0
GIOVANNI RICCI,3,0.0,0.0
CHRIS BLAIR,3,0.0,0.0
COLEMAN OWEN,2,0.0,0.0
KRISTIAN WILKERSON,1,0.0,0.0
LAWRENCE CAGER,1,0.0,0.0
STEVEN SIMS,2,0.0,0.0
BRYSON GREEN,1,0.0,0.0
MAURICE ALEXANDER,1,0.0,0.0
KEAONTAY INGRAM,1,0.0,0.0
RIVER CRACRAFT,1,0.0,0.0
